customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00001,Male,0,Yes,No,4,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Two year,Yes,Mailed check,83.9,322.96,No
CUST-00002,Female,0,Yes,No,59,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),56.44,3359.21,Yes
CUST-00003,Female,0,No,Yes,46,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,58.3,2748.75,No
CUST-00004,Male,0,Yes,No,46,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),88.8,4080.45,No
CUST-00005,Male,0,No,Yes,40,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,No,Electronic check,79.41,3086.25,No
CUST-00006,Female,0,No,No,72,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Two year,No,Electronic check,65.5,4790.78,No
CUST-00007,Male,0,No,No,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,51.22,161.91,No
CUST-00008,Female,0,Yes,No,8,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),63.06,492.96,No
CUST-00009,Male,0,Yes,No,62,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),66.16,4124.63,Yes
CUST-00010,Male,0,No,Yes,17,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),102.72,1832.44,Yes
CUST-00011,Female,0,No,No,20,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),43.64,878.0,No
CUST-00012,Female,0,No,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,23.79,43.35,No
CUST-00013,Female,0,Yes,Yes,0,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),47.93,18.0,No
CUST-00014,Female,0,Yes,Yes,45,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Credit card (automatic),100.27,4472.37,Yes
CUST-00015,Female,0,Yes,No,35,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Mailed check,87.2,3034.14,No
CUST-00016,Female,0,No,No,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,59.27,2783.19,Yes
CUST-00017,Female,0,Yes,No,44,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),36.58,1579.96,No
CUST-00018,Male,0,No,No,35,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,66.69,2383.46,No
CUST-00019,Female,1,Yes,No,0,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,No,Bank transfer (automatic),63.03,18.0,Yes
CUST-00020,Male,0,Yes,No,31,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,No,Credit card (automatic),57.04,1751.32,No
CUST-00021,Female,1,No,No,41,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),73.62,3109.3,Yes
CUST-00022,Male,0,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),86.57,175.07,No
CUST-00023,Male,0,No,No,8,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,63.4,438.31,Yes
CUST-00024,Female,0,Yes,No,27,Yes,Yes,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),71.2,1928.72,No
CUST-00025,Female,0,No,Yes,72,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Two year,Yes,Mailed check,47.87,3349.69,No
CUST-00026,Female,1,Yes,No,72,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),73.55,5350.22,No
CUST-00027,Male,0,No,No,59,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,37.95,2157.42,Yes
CUST-00028,Female,1,No,No,45,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),43.13,1903.98,No
CUST-00029,Female,1,Yes,Yes,0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),49.91,90.51,Yes
CUST-00030,Male,0,No,Yes,53,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,51.09,2696.09,No
CUST-00031,Male,0,Yes,No,5,Yes,No,DSL,No,No,Yes,No,No,No,One year,Yes,Credit card (automatic),33.7,207.23,No
CUST-00032,Male,0,Yes,No,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,86.07,1790.97,No
CUST-00033,Male,0,Yes,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,63.03,87.53,No
CUST-00034,Female,0,Yes,No,64,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),62.37,3948.08,No
CUST-00035,Female,0,No,No,72,Yes,No,DSL,No,No,No,No,No,Yes,One year,Yes,Bank transfer (automatic),67.49,4848.37,No
CUST-00036,Male,1,No,No,13,Yes,No,DSL,Yes,No,No,Yes,No,No,Two year,No,Electronic check,30.39,326.4,Yes
CUST-00037,Female,0,No,Yes,45,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),79.7,3597.63,Yes
CUST-00038,Female,0,No,Yes,6,No,No phone service,Fiber optic,No,No,No,No,No,No,Two year,Yes,Electronic check,57.06,383.15,No
CUST-00039,Male,0,No,No,39,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,56.04,2190.14,Yes
CUST-00040,Female,0,Yes,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,44.71,3232.56,Yes
CUST-00041,Male,1,Yes,No,35,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),70.92,2428.0,No
CUST-00042,Female,0,Yes,No,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),33.8,1573.08,No
CUST-00043,Female,1,No,Yes,72,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),83.72,6072.29,No
CUST-00044,Male,0,No,No,46,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),67.42,3134.17,No
CUST-00045,Male,1,No,Yes,41,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),70.95,2846.93,No
CUST-00046,Female,0,Yes,No,49,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),57.36,2861.23,Yes
CUST-00047,Male,0,Yes,Yes,69,No,No phone service,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,36.17,2520.42,Yes
CUST-00048,Female,0,No,No,53,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,59.04,3112.53,No
CUST-00049,Female,0,Yes,No,55,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,39.12,2154.8,No
CUST-00050,Female,0,No,No,27,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Mailed check,47.78,1258.56,No
CUST-00051,Female,0,Yes,Yes,2,Yes,Yes,DSL,No,Yes,No,No,No,No,Two year,No,Mailed check,48.86,99.4,No
CUST-00052,Male,0,Yes,Yes,68,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),55.28,3782.14,No
CUST-00053,Male,0,No,No,21,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Two year,Yes,Electronic check,79.64,1680.51,Yes
CUST-00054,Male,0,No,Yes,36,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,70.23,2631.85,No
CUST-00055,Male,0,No,Yes,70,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),65.42,4569.77,No
CUST-00056,Male,0,No,No,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),43.53,1781.17,No
CUST-00057,Female,0,Yes,Yes,66,Yes,No,Fiber optic,No,Yes,No,No,No,No,Two year,No,Credit card (automatic),81.63,5322.63,No
CUST-00058,Male,0,No,Yes,19,Yes,Yes,DSL,No,No,No,No,Yes,No,One year,No,Credit card (automatic),37.85,724.44,No
CUST-00059,Female,0,No,No,69,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Two year,No,Bank transfer (automatic),71.51,4914.8,No
CUST-00060,Female,0,No,No,12,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,95.43,1104.11,Yes
CUST-00061,Female,0,No,No,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,46.86,90.78,No
CUST-00062,Female,0,Yes,No,2,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,56.0,158.4,No
CUST-00063,Male,1,Yes,No,0,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,61.56,18.0,Yes
CUST-00064,Female,0,No,No,68,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,40.61,2748.44,Yes
CUST-00065,Male,0,No,No,72,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),71.65,5187.99,No
CUST-00066,Male,0,Yes,Yes,53,No,No phone service,DSL,Yes,No,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),37.52,2055.15,No
CUST-00067,Female,0,Yes,No,5,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,56.21,337.78,No
CUST-00068,Male,0,No,No,43,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,36.47,1565.56,No
CUST-00069,Male,0,No,No,57,Yes,No,DSL,No,No,No,No,No,No,One year,No,Credit card (automatic),88.29,5072.1,No
CUST-00070,Male,0,No,No,4,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),71.63,318.72,Yes
CUST-00071,Female,0,Yes,No,53,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Two year,Yes,Credit card (automatic),36.53,2022.39,No
CUST-00072,Male,0,No,No,0,Yes,Yes,DSL,Yes,No,No,No,No,No,Two year,No,Electronic check,54.3,93.52,No
CUST-00073,Male,0,No,No,6,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Bank transfer (automatic),42.95,243.34,No
CUST-00074,Male,1,No,No,24,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,56.3,1390.76,Yes
CUST-00075,Female,1,Yes,No,53,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Two year,No,Electronic check,82.68,4332.37,No
CUST-00076,Male,1,No,No,3,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),39.97,134.78,No
CUST-00077,Male,1,No,No,3,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,Yes,Electronic check,77.74,247.57,No
CUST-00078,Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),69.43,70.0,Yes
CUST-00079,Female,0,No,Yes,63,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,29.32,1884.8,Yes
CUST-00080,Female,0,No,Yes,54,No,No phone service,DSL,No,No,Yes,Yes,No,No,Two year,Yes,Electronic check,50.9,2751.7,No
CUST-00081,Female,0,Yes,No,4,Yes,Yes,DSL,No,No,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),73.9,289.22,No
CUST-00082,Male,0,No,Yes,72,No,No phone service,DSL,No,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),51.0,3614.07,No
CUST-00083,Male,1,No,Yes,3,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,50.27,115.22,No
CUST-00084,Female,0,Yes,Yes,27,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),61.26,1693.02,No
CUST-00085,Female,0,Yes,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),40.35,128.56,No
CUST-00086,Female,0,No,No,68,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Two year,Yes,Mailed check,75.39,5146.21,No
CUST-00087,Male,0,Yes,No,35,Yes,Yes,DSL,Yes,No,No,No,Yes,No,One year,No,Credit card (automatic),61.28,2162.0,No
CUST-00088,Male,0,No,No,7,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),47.41,279.94,No
CUST-00089,Female,0,Yes,No,3,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Electronic check,110.42,396.53,No
CUST-00090,Female,0,Yes,No,53,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,94.35,5023.79,No
CUST-00091,Male,0,Yes,No,2,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),72.77,147.3,Yes
CUST-00092,Female,1,No,No,65,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,One year,No,Electronic check,75.65,4917.33,No
CUST-00093,Female,0,No,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),28.72,1326.42,No
CUST-00094,Male,0,Yes,No,36,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,43.03,1464.53,No
CUST-00095,Female,0,Yes,Yes,2,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,One year,Yes,Electronic check,70.79,199.99,Yes
CUST-00096,Male,0,Yes,Yes,35,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,82.66,2859.36,Yes
CUST-00097,Male,0,No,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,50.47,3599.18,No
CUST-00098,Female,1,No,No,30,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,One year,Yes,Mailed check,70.81,2037.25,No
CUST-00099,Female,0,No,No,41,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,49.21,2055.36,No
CUST-00100,Male,0,Yes,Yes,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),26.38,1112.84,No
CUST-00101,Female,0,No,No,72,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),52.82,3814.95,Yes
CUST-00102,Male,0,Yes,No,50,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),61.08,3072.01,No
CUST-00103,Female,0,Yes,No,54,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,57.33,3117.21,No
CUST-00104,Male,0,Yes,No,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),68.33,473.48,No
CUST-00105,Female,1,Yes,No,4,Yes,No,Fiber optic,No,No,No,No,No,No,One year,No,Bank transfer (automatic),56.68,219.27,Yes
